S-41,Scheduling,Pace vs. schedule,Maybe,Control,N,N,1,Variable,SCH-N,,,,,,,Scheduling Engine,,
S-42,Scheduling,Day-by-day balancing,Maybe,Assist,N,N,1,Variable,SCH-N,Active,45,The 7-day Patient and Worker calendars display visit distribution across each day of the week for the scheduler to balance.,Active,55,"OVERREACH - Engine distributes visits across the 7-day window and Frequency-based Plotting assigns days by branch workload, balancing days automatically past our Assist posture.",Scheduling Engine,,
,,,,,,,,,,,,,,,,,,
COORDINATION   -   the execution glue that ties capacity and scheduling,,,,,,,,,,,,,,,,,,
,Coordination,Confirmation & Reminders,,,,,,Category,CRD-A,,"=IFERROR(SUMPRODUCT($H$131:$H$137*L$131:L$137)/SUMPRODUCT($H$131:$H$137*ISNUMBER(L$131:L$137)),0)",,,"=IFERROR(SUMPRODUCT($H$131:$H$137*O$131:O$137)/SUMPRODUCT($H$131:$H$137*ISNUMBER(O$131:O$137)),0)",,,,
CO-01,Coordination,Day-before / same-day visit confirmation,Yes,Assist,N,N,3,Variable,CRD-A,Active,70,Visit icons show Patient Visit Reminder states - Patient/Primary Caregiver Received and Confirmed - giving confirmation visibility.,,,,Patient Engagement,,
CO-02,Coordination,Automated appointment reminders,Yes,Control,N,Y,3,Variable,CRD-A,Active,65,Patient Visit Reminder icons (Received/Confirmed for patient and caregiver) surface the status of automated appointment reminders.,,,,Patient Engagement,,
CO-03,Coordination,En-route / on-my-way notification,Maybe,Control,N,N,1,Variable,CRD-A,,,,,,,Patient Engagement,,
CO-04,Coordination,New-patient welcome call,Maybe,Assist,N,N,1,Variable,CRD-A,,,,,,,Patient Engagement,,
CO-05,Coordination,Communication channel & preference management,Maybe,Assist,N,Y,1,Variable,CRD-A,,,,,,,Patient Engagement,,
CO-13,Coordination,Patient & caregiver contact channel,Yes,Control,Y,N,3,Variable,CRD-A,,,,,,,Patient Engagement,,
CO-14,Coordination,Consent state by channel,Yes,Control,Y,Y,3,Variable,CRD-A,,,,,,,Patient Engagement,,
,Coordination,Coverage & Reschedule,,,,,,Category,CRD-B,,"=IFERROR(SUMPRODUCT($H$139:$H$142*L$139:L$142)/SUMPRODUCT($H$139:$H$142*ISNUMBER(L$139:L$142)),0)",,,"=IFERROR(SUMPRODUCT($H$139:$H$142*O$139:O$142)/SUMPRODUCT($H$139:$H$142*ISNUMBER(O$139:O$142)),0)",,,,
CO-06,Coordination,Availability confirmation before booking,Yes,Read,Y,N,3,Variable,CRD-B,Active,60,The Worker Calendar and its dynamic capacity read give schedulers clear availability visibility before booking.,Active,55,"OVERREACH - Engine auto-validates clinician and patient availability as a hard gate before booking, acting rather than only surfacing per our Read posture.",Patient Engagement,,
CO-07,Coordination,Reschedule coordination,Maybe,Read,N,N,1,Variable,CRD-B,Active,60,The Scheduling Status Alerts queue surfaces Rescheduled visits returned from the field for reschedule coordination.,Active,65,"OVERREACH - Visit Dispatching and Rapid Reschedule auto-reschedule/reassign visits, exceeding our Read posture on reschedule coordination.",Patient Engagement,,
CO-08,Coordination,Failed-visit / no-show follow-up & rebooking,Yes,Assist,Y,N,3,Variable,CRD-B,Active,65,Declined and Missed-by-Clinician visits in the Alerts queue surface failed visits needing follow-up and rebooking.,Active,65,"OVERREACH - Declined/reassigned visits are auto-rebooked to the next-best clinician by Visit Dispatching, exceeding our Assist posture on failed-visit follow-up.",Patient Engagement,,
CO-09,Coordination,Call-out coverage coordination,Yes,Read,Y,N,3,Variable,CRD-B,Active,45,Reassigned/Declined alerts plus Worker search (with capacity and calendar) support finding coverage for call-outs.,Active,55,OVERREACH - Visit Dispatching auto-reassigns call-out/declined visits to the next-best clinician (Find Shifts also surfaces unfilled shifts); the engine acts on coverage rather than only surfacing per our Read posture.,Scheduling Engine,,
,Coordination,Care Coordination,,,,,,Category,CRD-C,,"=IFERROR(SUMPRODUCT($H$144:$H$145*L$144:L$145)/SUMPRODUCT($H$144:$H$145*ISNUMBER(L$144:L$145)),0)",,,"=IFERROR(SUMPRODUCT($H$144:$H$145*O$144:O$145)/SUMPRODUCT($H$144:$H$145*ISNUMBER(O$144:O$145)),0)",,,,
CO-10,Coordination,Multi-discipline visit coordination,Maybe,Assist,N,N,1,Variable,CRD-C,Active,45,The Visit List shows Team Member and a multi-select Teams filter to view visits across care-team disciplines.,,,,Scheduling Engine,,
CO-11,Coordination,Care-team / office coordination updates,Maybe,Assist,N,N,1,Variable,CRD-C,Active,45,Visit Change History and field-return alert statuses surface updates for care-team/office coordination.,Active,50,"Same-Day Schedule Notifications, auto workflow-stage closure, and Visit Change History surface schedule changes to the care team/office.",Scheduling Engine,,
,Coordination,Coordination Cost,,,,,,Category,CRD-D,,"=IFERROR(SUMPRODUCT($H$147*L$147)/SUMPRODUCT($H$147*ISNUMBER(L$147)),0)",,,"=IFERROR(SUMPRODUCT($H$147*O$147)/SUMPRODUCT($H$147*ISNUMBER(O$147)),0)",,,,
CO-12,Coordination,Coordination time load,Maybe,Read,N,N,1,Variable,CRD-D,,,,,,,Scheduling Engine,,
