S-49,Scheduling,Compliance,Review queue state,Depth and age of the plan-of-care QA queue and the physician-order approval queue.,"Plan-of-care QA is a hard stop: visits cannot be scheduled until it clears. When the queue is behind, an assistant waits on visits and days of care compress into one. It is a live scheduling constraint that nobody downstream can see.",QA queue runs four days behind; the aide's first three visits collapse into one week.,Hard,High,Read,"Queue depth is countable, but the queue is other people's work - put it in front of the people it blocks, do not reorder it.","Order approval is an HCHB toggle rather than a Medicare requirement, and its queue is the largest source of add-on order delay.",HCHB,Scheduling Engine
S-50,Scheduling,Exception,Documentation sync latency,"Elapsed time between a visit occurring and the clinician syncing its documentation, during which visit state is unknown to the back office.","Delivered over Citrix, the back office can see only that a visit was started or is incomplete. A visit performed Tuesday may not sync until Friday and reads as undocumented; conversely a started visit is not always a completed one.",A clinician who called 911 has started a visit that did not happen; the schedule still shows it as worked.,Derived,High,Read,Measure the blind window and report it. Nothing may depend on real-time visit state read out of HCHB.,"Any capacity or exception logic built on real-time visit state will be wrong, and the size of that error is measurable.",HCHB,Scheduling Engine
CO-01,Coordination,Confirmation & Reminders,Day-before / same-day visit confirmation,Contacting the patient ahead of the visit to confirm it will happen.,The single biggest reducer of failed and no-show visits; today largely a manual clinician or office task.,Clinician calls Thursday evening to confirm Friday's 9am visit.,Soft,Medium,Assist,"Confirmation cuts failed visits; the call can surface changes, so prompt and let a person confirm.","Protects scheduled capacity; the human touch catches what a reminder can't - assist, don't fully automate.",Manual,Patient Engagement
CO-02,Coordination,Confirmation & Reminders,Automated appointment reminders,"System-sent call, text, or email reminders of upcoming visits.","A safe, high-value automation that cuts no-shows without consuming human time.",Automated text at 5pm: your nurse visit is tomorrow around 9am.,Soft,High,Control,Rule-based reminder dispatch - a clean automation win.,"Legible, low-risk - the reminder is deterministic; safe to control.",Telephony,Patient Engagement
CO-03,Coordination,Confirmation & Reminders,En-route / on-my-way notification,Notifying the patient the clinician is on the way.,Improves access and satisfaction; fully derivable from the live route.,Auto-text: your therapist is about 20 minutes away.,Soft,High,Control,Derived from the live route; safe to automate.,Deterministic from position and route - a clean control automation.,Routing,Patient Engagement
CO-04,Coordination,Confirmation & Reminders,New-patient welcome call,Outbound welcome call to a newly referred patient.,Sets expectations and confirms the first visit; often the first coordination touch.,Office calls the new SOC patient to introduce the clinician and confirm timing.,Soft,Medium,Assist,Automate the trigger; the call itself is human and relational.,"Automate the trigger, keep the human on the line - assist.",Telephony + HCHB,Patient Engagement
CO-05,Coordination,Confirmation & Reminders,Communication channel & preference management,"Tracking and honoring how each patient prefers to be reached - text, call, or email.",Determines whether reminders and confirmations even land; a preference the system must store and honor.,Patient opts for text only; no automated calls.,Soft,Medium,Assist,Capturable preference; confirm it for reliability-critical messages.,"A capturable channel preference - honor it, don't assume.",Manual + Config,Patient Engagement
CO-06,Coordination,Coverage & Reschedule,Availability confirmation before booking,Confirming patient and required-caregiver availability before the visit is placed.,Prevents booking into windows that will fail; leans on the caregiver-availability constraints.,Scheduler confirms the daughter is home Tue 8-10am before booking the teaching visit.,Hard,Low,Read,"Depends on fluctuating patient and caregiver windows; surface, a person owns it.","Feeds off the caregiver sensitive-dependence variables - read, never presume.",Manual,Patient Engagement
CO-07,Coordination,Coverage & Reschedule,Reschedule coordination,Negotiating a new time when the patient or caregiver cannot make the planned visit.,Relational and judgment-heavy; a system can propose slots but the negotiation is human.,Patient cancels Friday; clinician works out Saturday morning with the family.,Soft,Low,Read,"Relational negotiation; the system can propose slots, a person owns the outcome.",Human negotiation around a moving constraint - read or assist at most.,Manual,Patient Engagement
CO-08,Coordination,Coverage & Reschedule,Failed-visit / no-show follow-up & rebooking,Following up after a missed visit to reschedule and document it.,The recovery loop; unaddressed misses become compliance and revenue losses.,Patient not home Wednesday; office follows up and rebooks Thursday.,Hard,Medium,Assist,Detecting the miss is clean; the rebooking pulls in every soft constraint.,Detection legible; recovery pulls the whole basin back in - assist.,HCHB + Manual,Patient Engagement
CO-09,Coordination,Coverage & Reschedule,Call-out coverage coordination,Finding coverage when a clinician calls out.,Hinges on who will actually say yes; ties directly to per-diem/flex capacity and clinician elasticity.,An RN calls out Monday; the scheduler works the per-diem list to cover the visits.,Hard,Low,Read,"Coverage hinges on relational willingness; surface options, a person works it.",Runs on the same relational elasticity as per-diem uptake - read/assist.,Manual,Scheduling Engine
CO-10,Coordination,Care Coordination,Multi-discipline visit coordination,Sequencing and spacing visits from different disciplines per the plan of care.,"Prevents two clinicians arriving together, or a patient over-visited one day and idle the next.",Space the RN and PT visits across the week rather than both on Monday.,Soft,Medium,Assist,Rule-informed but pinned by patient tolerance and clinician routes; propose.,Optimizable only within the limits human tolerance sets - assist.,HCHB + Manual,Scheduling Engine
CO-11,Coordination,Care Coordination,Care-team / office coordination updates,Keeping the case manager and office in sync on schedule changes.,The connective communication that keeps the record and the team aligned; today the coordination-note habit.,Scheduler notes the visit moved and flags the case manager.,Soft,Medium,Assist,Logging and notification are automatable; what to escalate is human judgment.,Notification is safe; the escalation judgment is human - assist.,HCHB,Scheduling Engine
CO-12,Coordination,Coordination Cost,Coordination time load,The non-visit time clinicians and schedulers spend coordinating.,The capacity face of coordination: this time reduces visit capacity and caps a scheduler's span.,A clinician spends roughly 45 minutes a day coordinating - capacity that is not visits.,Derived,Low,Read,Measure and surface it; the coordination work itself stays human.,"The capacity cost of coordination - read and measure, don't control the people doing it.",Derived + Manual,Scheduling Engine
CO-13,Coordination,Confirmation & Reminders,Patient & caregiver contact channel,"The verified phone number and reachable channel for the patient and, where applicable, the caregiver or POA - including which party is the correct contact for scheduling.","Every coordination function depends on reaching the right person on a working number, and today that detail is scattered. Distinct from CO-05, which is channel preference; a preference is no use without a verified number for the right party.",Reminder texts go to a disconnected mobile while the daughter who books every visit is never contacted.,Hard,High,Control,A verified number is a deterministic record the system can hold and dial.,Patient scheduling runs on phone and text. Email is not a patient scheduling channel and should not be designed as one.,HCHB + Commure,Patient Engagement
CO-14,Coordination,Confirmation & Reminders,Consent state by channel,"Which contact channels are legally permitted - text messaging, and sharing information with family or caregivers - and whether the relevant consent has been signed.","A legal gate rather than a preference, and therefore distinct from CO-05. Consents are signed at the start-of-care visit, so no automated texting can precede admission and the readiness call is necessarily a voice call.","Automated reminder texts begin the day the SOC consent is signed, not the day the referral arrives.",Hard,High,Control,"The system must refuse the channel until consent is signed - enforce it, never weigh it.",Any automated outreach built without this gate is a compliance exposure. Outbound automated calling is separately regulated; at least one state treats a call not manually triggered by a human as a robocall.,HCHB,Patient Engagement
